#,,Gimmick,Birthplace,Height,Weight,Promotioin,Rating,votes
84,,Yoshiaki Fujiwara,"Kitakami, Iwate, Japan",185,108,,9.24,37
85,,King Nakamura,"Mineyama, Kyoto, Japan",188,100,,9.24,802
86,,Takashi Sugiura,"Nagoya, Aichi, Japan",178,89,,9.24,152
87,,Mizuki,"Kobe, Hyogo, Japan",158,40,,9.24,36
88,,Rey Fenix,"Mexico City, Distrito Federal, Mexiko",177,75,,9.23,293
89,,Cesaro,"Luzern, Schweiz",195,110,,9.23,1175
90,,Yuki Ueno,"Osaka, Japan",174,78,,9.23,25
91,,Hayabusa,"Yatsushiro, Kumamoto, Japan",183,106,,9.22,157
92,,The Rock,"Hayward, California, USA",193,120,,9.22,1271
93,,Nigel McGuinness,"London, Greater London, England, UK",185,102,,9.22,384
94,,Nick Bockwinkel,"St. Paul, Minnesota, USA",178,120,,9.2,60
95,,Penta El Zero Miedo,"Mexico City, Distrito Federal, Mexiko",180,91,,9.2,337
96,,Chris Hero,"Dayton, Ohio, USA",193,122,,9.2,670
97,,Rina Yamashita,"Kagoshima, Japan",165,77,,9.2,29
98,,Rick Knox,"Riverside, California, USA",,,,9.19,47
99,,Stu Hart,"Saskatoon, Saskatchewan, Canada",178,105,,9.19,112
100,,Shuji Ishikawa,"Oshu, Iwate, Japan",195,130,,9.19,98
101,,Gordon Solie,"Minneapolis, Minnesota, USA",,,,9.18,50
102,,Genichiro Tenryu,"Katsuyama, Fukui, Japan",189,120,,9.18,119
103,,CIMA,"Sakai, Osaka, Japan",174,82,,9.18,201
104,,Mick Foley,"Bloomington, Indiana, USA",188,135,,9.17,877
105,,Kevin Owens,"Saint-Jean-sur-Richelieu, Quebec, Canada",180,120,,9.17,912
106,,Yuko Miyamoto,"Hatsukaichi, Hiroshima, Japan",175,90,,9.17,74
107,,Tsukasa Fujimoto,"Sendai, Miyagi, Japan",158,48,,9.17,52
108,,Sami Zayn,"Laval, Quebec, Canada",185,96,,9.16,798
109,,Austin Aries,"Milwaukee, Wisconsin, USA",175,91,,9.15,516
110,,Jake Lee,"Kitami, Hokkaido, Japan",192,110,,9.13,47
111,,Kensuke Sasaki,"Fukuoka, Japan",180,115,,9.12,175
112,,Randy Savage,"Columbus, Ohio, USA",186,106,,9.11,532
113,,YAMATO,"Ichinoseki, Iwate, Japan",172,82,,9.11,88
114,,Hiroshi Hase,"Oyabe, Toyama, Japan",183,105,,9.1,51
115,,Dynamite Kid,"Golborne, Lancashire, England, UK",173,104,,9.1,188
116,,Jun Kasai,"Obihiro, Hokkaido, Japan","173,5","91,5",,9.1,127
117,,Ric Flair,"Memphis, Tennessee, USA",180,110,,9.1,1085
118,,Bandido,"Torreon, Coahuila, Mexiko",170,83,,9.09,89
119,,Pete Dunne,"Birmingham, West Midlands, England, UK",179,93,,9.09,320
120,,Yuji Nagata,"Togane, Chiba, Japan",183,108,,9.09,296
121,,Gorilla Monsoon,"New York City, New York, USA",198,182,,9.08,114
122,,Dragon Lee,"Tala, Jalisco, Mexiko",171,75,,9.08,129
123,,Samoa Joe,"Orange County, California, USA",188,127,,9.08,871
124,,Vince McMahon,"New York City, New York, USA",185,100,,9.07,67
125,,Mike Quackenbush,"West Lawn, Pennsylvania, USA",183,87,,9.07,241
126,,Sting,"Omaha, Nebraska, USA",191,114,,9.07,817
127,,Maya Yukihi,"Chiba, Japan",164,57,,9.06,32
128,,Great Sasuke,"Morioka, Iwate, Japan",176,86,,9.06,131
129,,Fuminori Abe,"Setagaya, Tokyo, Japan",173,78,,9.06,31
130,,Mauro Ranallo,"Mount Lehman, Abbotsford, British Columbia, Canada",174,78,,9.05,221
131,,Ted DiBiase,"Miami Beach, Florida, USA",191,112,,9.05,328
132,,Keith Lee,"Wichita Falls, Texas, USA",188,151,,9.05,222
133,,Miyu Yamashita,"Fukuoka, Japan",165,,,9.04,68
134,,HARASHIMA,"Ome, Tokyo, Japan",178,90,,9.03,70
135,,Mayumi Ozaki,"Kawaguchi, Saitama, Japan",158,57,,9.02,42
136,,Momo Watanabe,"Sagamihara, Kanagawa, Japan",156,53,,9.02,123
