Rank,Name,Height,Weight,Rating,Votes,City,State,Country
97,Rina Yamashita,165,77,9.2,29,Kagoshima, Japan,
99,Stu Hart,178,105,9.19,112,Saskatoon, Saskatchewan, Canada
100,Shuji Ishikawa,195,130,9.19,98,Oshu, Iwate, Japan
102,Genichiro Tenryu,189,120,9.18,119,Katsuyama, Fukui, Japan
103,CIMA,174,82,9.18,201,Sakai, Osaka, Japan
104,Mick Foley,188,135,9.17,877,Bloomington, Indiana, USA
105,Kevin Owens,180,120,9.17,912,Saint-Jean-sur-Richelieu, Quebec, Canada
106,Yuko Miyamoto,175,90,9.17,74,Hatsukaichi, Hiroshima, Japan
107,Tsukasa Fujimoto,158,48,9.17,52,Sendai, Miyagi, Japan
108,Sami Zayn,185,96,9.16,798,Laval, Quebec, Canada
109,Austin Aries,175,91,9.15,516,Milwaukee, Wisconsin, USA
110,Jake Lee,192,110,9.13,47,Kitami, Hokkaido, Japan
111,Kensuke Sasaki,180,115,9.12,175,Fukuoka, Japan,
112,Randy Savage,186,106,9.11,532,Columbus, Ohio, USA
113,YAMATO,172,82,9.11,88,Ichinoseki, Iwate, Japan
114,Hiroshi Hase,183,105,9.1,51,Oyabe, Toyama, Japan
116,Jun Kasai,"173,5","91,5",9.1,127,Obihiro, Hokkaido, Japan
117,Ric Flair,180,110,9.1,1085,Memphis, Tennessee, USA
118,Bandido,170,83,9.09,89,Torreon, Coahuila, Mexiko
120,Yuji Nagata,183,108,9.09,296,Togane, Chiba, Japan
121,Gorilla Monsoon,198,182,9.08,114,New York City, New York, USA
122,Dragon Lee,171,75,9.08,129,Tala, Jalisco, Mexiko
123,Samoa Joe,188,127,9.08,871,Orange County, California, USA
124,Vince McMahon,185,100,9.07,67,New York City, New York, USA
125,Mike Quackenbush,183,87,9.07,241,West Lawn, Pennsylvania, USA
126,Sting,191,114,9.07,817,Omaha, Nebraska, USA
127,Maya Yukihi,164,57,9.06,32,Chiba, Japan,
128,Great Sasuke,176,86,9.06,131,Morioka, Iwate, Japan
129,Fuminori Abe,173,78,9.06,31,Setagaya, Tokyo, Japan
131,Ted DiBiase,191,112,9.05,328,Miami Beach, Florida, USA
132,Keith Lee,188,151,9.05,222,Wichita Falls, Texas, USA
134,HARASHIMA,178,90,9.03,70,Ome, Tokyo, Japan
135,Mayumi Ozaki,158,57,9.02,42,Kawaguchi, Saitama, Japan
136,Momo Watanabe,156,53,9.02,123,Sagamihara, Kanagawa, Japan
137,Trish Stratus,162,54,9.01,550,Richmond Hill, Ontario, Canada
138,KENTA,174,85,9.01,508,Souka, Saitama, Japan
139,Hana Kimura,164,58,9,106,Yokohama, Kanagawa, Japan
140,Jesse Ventura,193,123,9,132,Minneapolis, Minnesota, USA
141,Freddie Blassie,178,100,9,70,St. Louis, Missouri, USA
142,Nobuhiko Takada,183,100,9,39,Yokohama, Kanagawa, Japan
143,Tsukushi Haruka,146,44,9,32,Kamisu, Ibaraki, Japan
144,Johnny Gargano,178,90,9,437,Lakewood, Ohio, USA
146,Harley Race,185,115,8.99,147,Kansas City, Missouri, USA
148,Akira Taue,192,120,8.99,135,Chichibu, Saitama, Japan
150,Alex Shelley,175,90,8.95,397,Detroit, Michigan, USA
