Rank,Name,Height,Weight,Rating,Votes,City,State,Country
453,Extreme Tiger,160,67,8.02,43,Tijuana, Baja California, Mexiko
454,AJ Lee,157,52,8.02,405,Union City, New Jersey, USA
455,Lio Rush,168,73,8.01,144,Lanham, Maryland, USA
456,Eric Schwarz,193,109,8,104,Mainz, Rheinland-Pfalz, Deutschland
457,Chris Bey,175,75,8,25,Alexandria, Virginia, USA
458,Larry Sweeney,175,83,7.99,95,Winnetka, Illinois, USA
459,UltraMantis Black,183,91,7.99,69,Pennsylvania, USA,
460,Justin Roberts,178,77,7.99,121,Chicago, Illinois, USA
461,Rich Swann,168,77,7.98,172,Baltimore, Maryland, USA
462,Chris Sabin,177,81,7.98,326,Detroit, Michigan, USA
463,Paul Tracey,188,100,7.97,38,Bray, Co. Wicklow, Ireland
464,Ruby Soho,163,55,7.95,148,Edwardsburg, Michigan, USA
465,Ikuto Hidaka,172,80,7.95,39,Masuda, Shimane, Japan
466,Michael Elgin,180,111,7.95,292,Oshawa, Ontario, Canada
467,MsChif,170,61,7.94,50,Missouri, USA,
468,Mance Warner,185,98,7.94,31,Bucksnort, Tennessee, USA
470,Mr. Anderson,188,110,7.93,613,Wisconsin Rapids, Wisconsin, USA
471,Gary Albright,191,160,7.92,25,Rhode Island, USA,
472,Sheik,180,110,7.92,48,Lansing, Michigan, USA
473,Ricky Marvin,169,79,7.92,77,Ciudad y Puerto de Veracruz, Veracruz, Mexiko
474,TAKA Michinoku,175,78,7.92,172,Yotsukaido, Chiba, Japan
475,Drew Gulak,180,92,7.92,219,Philadelphia, Pennsylvania, USA
476,Robbie Eagles,177,80,7.91,66,Jonestown, New South Wales, Australia
477,Crazy Sexy Mike,178,93,7.91,101,Berlin, Deutschland,
478,Mercedes Martinez,170,67,7.91,94,Waterbury, Connecticut, USA
481,Jack Brisco,191,102,7.9,30,Blackwell, Oklahoma, USA
482,El Phantasmo,183,83,7.9,85,Vancouver, British Columbia, Canada
483,Jordynne Grace,156,68,7.9,68,St. Louis, Missouri, USA
484,Jonathan Gresham,162,73,7.89,141,Atlanta, Georgia, USA
485,Josh Barnett,190,114,7.89,36,Seattle, Washington, USA
487,Yoshihito Sasaki,174,96,7.88,33,Kawaguchi, Saitama, Japan
488,Takeshi Morishima,190,125,7.88,184,Tokyo, Japan,
490,Thunder Rosa,161,54,7.87,114,Tijuana, Baja California, Mexiko
491,Santana,178,90,7.86,49,New York City, New York, USA
492,Kengo Mashimo,180,98,7.86,27,Maizuru, Kyoto, Japan
493,Diamond Dallas Page,196,106,7.85,323,Point Pleasant, New Jersey, USA
494,Rey Horus,170,75,7.85,46,Tijuana, Baja California, Mexiko
495,Jake Roberts,195,113,7.85,266,Gainesville, Texas, USA
496,Baron von Hagen,183,120,7.84,61,Hamburg, Deutschland,
497,Chris Raaber,192,114,7.84,126,Leoben, Steiermark, Österreich
498,MVP,180,114,7.83,709,Miami, Florida, USA
499,Ace Austin,173,79,7.83,53,Atlantic City, New Jersey, USA
500,Hugo Savinovich,178,105,7.82,33,Guayaquil, Ecuador,
501,Angelico,190,97,7.82,151,Johannesburg, South Africa,
502,SANADA,182,100,7.82,276,Niigata, Japan,
503,Jeremy Borash,178,82,7.8,99,Minneapolis, Minnesota, USA
504,Skayde,170,87,7.8,29,Mexico City, Distrito Federal, Mexiko
505,The Brian Kendrick,173,71,7.8,505,Fairfax, Virginia, USA
506,Jeff Hardy,185,99,7.8,1216,Cameron, North Carolina, USA
507,Mexxberg,190,110,7.8,53,Graz, Steiermark, Österreich
508,Woman,165,63,7.79,47,Boston, Massachusetts, USA
509,Drago,174,79,7.79,72,Mexico City, Distrito Federal, Mexiko
510,Brain Damage,192,123,7.78,63,Mansfield, Ohio, USA
511,Eric Bischoff,178,88,7.78,216,Detroit, Michigan, USA
512,Dolph Ziggler,183,100,7.78,829,Cleveland, Ohio, USA
513,Charlotte Flair,178,65,7.78,593,Charlotte, North Carolina, USA
514,Jim Cornette,183,105,7.77,241,Louisville, Kentucky, USA
515,Danny Havoc,185,86,7.77,96,Cylinder, Iowa, USA
516,Terry Gordy,195,135,7.77,72,Chattanooga, Tennessee, USA
517,Travis Banks,173,86,7.77,101,Auckland, New Zealand,
518,Sammy Guevara,178,84,7.77,153,Katy, Texas, USA
519,Eddie Edwards,180,97,7.77,202,Boston, Massachusetts, USA
521,Sami Callihan,175,95,7.77,243,Bellefontaine, Ohio, USA
522,Nicole Matthews,173,66,7.76,37,Coquitlam, British Columbia, Canada
523,Kaio,190,103,7.75,27,Como, Italien,
524,Tony Nese,175,89,7.75,144,Ridge, New York, USA
525,SUWA,173,95,7.74,30,Kagoshima, Japan,
526,Portia Perez,157,55,7.74,41,Ottawa, Ontario, Canada
528,Jungle Boy,178,76,7.74,134,California, USA,
529,Steve Maclin,183,102,7.74,30,Rutherford, New Jersey, USA
530,Jerry Lynn,175,93,7.73,226,Minneapolis, Minnesota, USA
531,Erik,185,112,7.73,79,Cleveland, Ohio, USA
532,Angel Garza,181,96,7.73,92,Monterrey, Nuevo Leon, Mexiko
533,AR Fox,183,84,7.72,97,Ansonia, Connecticut, USA
534,Cassie Lee,170,60,7.72,155,Sydney, New South Wales, Australia
535,Jerry Lawler,183,110,7.72,370,Memphis, Tennessee, USA
538,Heimo Ukonselkä,185,105,7.71,33,Helsinki, Finnland,
539,Fred Yehi,175,84,7.71,37,Georgia, USA,
540,Ivar,187,133,7.71,92,Lynn, Massachusetts, USA
541,Ricky Starks,183,88,7.7,66,New Orleans, Louisiana, USA
543,Koji Iwamoto,175,90,7.7,29,Kuwana, Mie, Japan
544,Daizee Haze,162,50,7.69,87,Cape Girardeau, Missouri, USA
545,Melina,162,55,7.69,312,Los Angeles, California, USA
546,Su Yung,165,59,7.69,48,Seattle, Washington, USA
547,Ikemen Jiro,180,90,7.69,34,Tokyo, Japan,
548,Marcel Barthel,190,95,7.69,184,Pinneberg, Schleswig-Holstein, Deutschland
549,Kimberly Page,178,55,7.68,58,Chicago, Illinois, USA
550,Molly Holly,162,64,7.68,133,Forest Lake, Minnesota, USA
551,Andre The Giant,213,240,7.68,300,Coulommiers, Ile-de-Frances, Frankreich
552,Caristico,170,79,7.68,274,Mexico City, Distrito Federal, Mexiko
553,Cash Wheeler,175,94,7.68,132,Raleigh, North Carolina, USA
554,Kacy Catanzaro,153,43,7.68,40,Glen Ridge, New Jersey, USA
555,Alundra Blayze,178,68,7.67,124,Mailand, Italien,
556,Karl Anderson,184,97,7.67,261,Detroit, Michigan, USA
558,Kylie Rae,165,66,7.67,41,Chicago, Illinois, USA
559,Ethan Page,188,103,7.67,89,Stoney Creek, Ontario, Canada
560,Ophidian,170,75,7.66,46,USA,,
561,Kaz Hayashi,173,83,7.66,75,Tokyo, Japan,
562,Robert Roode,183,106,7.66,471,Peterborough, Ontario, Canada
563,The Fiend,190,136,7.66,697,Brooksville, Florida, USA
564,Maika,162,60,7.65,45,Fukuoka, Japan,
565,LA Knight,188,104,7.65,105,Hagerstown, Maryland, USA
567,Masa Kitamiya,172,103,7.65,42,Tonami, Toyama, Japan
568,RD Evans,189,90,7.64,32,Winnipeg, Manitoba, Canada
569,Sabu,178,102,7.64,372,Detroit, Michigan, USA
570,Stacy Keibler,180,61,7.63,181,Baltimore, Maryland, USA
571,Kerry von Erich,188,115,7.63,105,Niagara Falls, New York, USA
573,Shelton Benjamin,188,113,7.63,580,Orangeburg, South Carolina, USA
574,Cannonball Grizzly,188,186,7.62,76,Omaha, Nebraska, USA
576,El Lindaman,161,80,7.62,36,Tokyo, Japan,
577,Tom Lawlor,183,93,7.61,30,Fall River, Massachusetts, USA
578,Sarah Logan,165,63,7.6,76,Jeffersonville, Indiana, USA
579,John Cena,185,114,7.6,1885,West Newbury, Massachusetts, USA
580,Ryo Saito,170,80,7.6,59,Yamagata, Japan,
581,Austin Theory,185,100,7.6,67,McDonough, Georgia, USA
582,Sunny,162,54,7.59,144,Asbury Park, New Jersey, USA
583,Carlos Cabrera,178,96,7.59,26,Bogota, Kolumbien,
584,Santana Garrett,165,54,7.59,68,Ocala, Florida, USA
585,Shane McMahon,187,105,7.59,510,Gaithersburg, Maryland, USA
586,Umaga,193,158,7.58,489,San Francisco, California, USA
587,Atsushi Aoki,170,85,7.58,76,Tokyo, Japan,
588,Marius Al-Ani,176,90,7.58,58,Eisenach, Thüringen, Deutschland
589,KAI,177,100,7.58,32,Yokohama, Kanagawa, Japan
590,Paul Orndorff,185,115,7.57,113,Winchester, Virginia, USA
591,Frankie Kazarian,185,98,7.57,309,Palm Springs, California, USA
593,Bobby Fish,180,89,7.57,190,Albany, New York, USA
594,Thumbtack Jack,178,83,7.56,183,München, Bayern, Deutschland
595,Chris Bosh,180,94,7.56,40,Beverly Hills, California, USA
596,Emil Sitoci,184,94,7.56,153,Ede, Gelderland, Niederlande
597,Ahmed Chaer,170,75,7.56,93,Berlin, Deutschland,
598,Kazunari Murakami,186,110,7.56,26,Toyama, Japan,
599,Trent,188,88,7.56,220,Mt. Sinai, New York, USA
600,Alex Pain,180,95,7.55,52,Mücheln, Sachsen-Anhalt, Deutschland
601,Bobby Eaton,182,107,7.55,88,Huntsville, Alabama, USA
602,Freddy Stahl,176,95,7.55,39,Bückeburg, Niedersachsen, Deutschland
603,Antonio Honda,168,80,7.55,32,Tokyo, Japan,
604,Matt Hardy,185,106,7.55,846,Cameron, North Carolina, USA
605,Kohei Sato,193,120,7.55,39,Koto, Tokyo, Japan
606,Montez Ford,185,105,7.55,77,Chicago, Illinois, USA
607,Shota Umino,183,93,7.55,54,Tokyo, Japan,
608,Damon Brix,190,107,7.54,56,Linz, Oberösterreich, Österreich
609,Gregory Iron,165,75,7.54,25,Cleveland, Ohio, USA
610,Tenille Dashwood,165,60,7.53,229,Melbourne, Victoria, Australia
612,T-BAR,201,118,7.52,137,Worcester, Massachusetts, USA
613,Nick Patrick,188,100,7.51,62,Lakeland, Florida, USA
614,Michael Knight,178,85,7.51,78,Schwerin, Mecklenburg-Vorpommern, Deutschland
615,Alex Koslov,170,86,7.51,70,Moldawien,,
616,Kazuyuki Fujita,182,115,7.51,36,Funabashi, Chiba, Japan
617,Prince Nana,180,107,7.51,46,Ghana,,
618,Jack Evans,173,77,7.51,261,Parkland, Washington, USA
620,Dick Murdoch,187,126,7.5,37,Amarillo, Texas, USA
621,Clark Connors,173,84,7.5,25,Snoqualmie, Washington, USA
622,Shinobu,173,78,7.5,25,Tome, Miyagi, Japan
623,Manabu Soya,180,112,7.5,27,Minowa, Nagano, Japan
624,Rocky Romero,170,78,7.49,195,Havanna, Kuba,
625,Rick Martel,185,108,7.49,161,Quebec City, Quebec, Canada
626,James Storm,185,103,7.49,271,Franklin, Tennessee, USA
627,Tatsuhito Takaiwa,178,94,7.49,42,Kameoka, Kyoto, Japan
628,Orange Cassidy,178,73,7.49,193,Stewartsville, New Jersey, USA
629,Noam Dar,175,77,7.49,141,Tel Aviv, Israel,
630,JJ Dillon,180,108,7.48,28,Trenton, New Jersey, USA
631,JC Bailey,183,86,7.48,43,Louisville, Kentucky, USA
632,Rickey Shane Page,196,128,7.48,32,Lordstown, Ohio, USA
633,Kevin von Erich,188,107,7.48,30,Belleville, Illinois, USA
634,EC3,185,102,7.48,231,Willoughby, Ohio, USA
635,Sheamus,193,121,7.48,736,Dublin, Ireland,
636,Daichi Hashimoto,180,92,7.48,47,Kanagawa, Japan,
637,Master Wato,176,80,7.48,74,Ikeda, Osaka, Japan
638,Lilian Garcia,165,50,7.47,183,Madrid, Spanien,
639,Ole Anderson,185,116,7.47,35,Minneapolis, Minnesota, USA
640,Silas Young,180,100,7.47,92,Appleton, Wisconsin, USA
642,Stu Grayson,178,85,7.47,74,Victoriaville, Quebec, Canada
643,Matt Cross,170,83,7.46,197,Cleveland, Ohio, USA
644,Tristan Archer,179,90,7.46,34,Amiens, Nord-Pas-de-Calais-Picardie, Frankreich
645,Ronda Rousey,170,61,7.45,169,Riverside, California, USA
647,Shane Helms,180,98,7.45,342,Smithfield, North Carolina, USA
648,Ryusuke Taguchi,180,91,7.45,186,Iwanuma, Miyagi, Japan
649,Human Tornado,190,78,7.44,81,Bakersfield, California, USA
650,The Miz,185,105,7.44,1216,Parma, Ohio, USA
651,Jade Chung,168,50,7.43,27,Guelph, Ontario, Canada
653,Bully Ray,193,127,7.42,439,Massapequa, New York, USA
654,Kagetora,170,80,7.42,35,Koutou, Tokyo, Japan
655,Excalibur,188,84,7.42,94,Detroit, Michigan, USA
656,TJ Wilson,175,91,7.42,329,Calgary, Alberta, Canada
657,Hiroyoshi Tenzan,183,115,7.42,149,Kyoto, Japan,
658,Yoshinobu Kanemaru,173,85,7.42,95,Kofu, Yamanashi, Japan
659,Ingo Vollenberg,180,70,7.41,28,Schmallenberg, Nordrhein-Westfalen, Deutschland
660,Frightmare,173,77,7.41,26,Middlesex, New Jersey, USA
661,Genki Horiguchi,173,75,7.41,55,Kumamoto, Japan,
662,Hajime Ohara,175,90,7.41,36,Kawasaki, Kanagawa, Japan
663,Slapjack,187,102,7.41,78,Perth, Western Australia, Australia
664,Stan Lane,185,102,7.4,29,Greensboro, North Carolina, USA
665,Jurn Simmons,188,115,7.4,57,Heeg, Friesland, Niederlande
666,Angelina Love,168,57,7.4,186,Toronto, Ontario, Canada
667,Joe Doering,195,135,7.4,51,Chicago, Illinois, USA
668,Riho,156,45,7.39,138,Shinagawa, Tokyo, Japan
669,Daga,173,82,7.39,35,Estado de Mexico, Mexiko,
670,Kris Statlander,173,65,7.39,79,West Islip, New York, USA
671,Jinsei Shinzaki,180,108,7.39,104,Tokushima, Japan,
672,Dusty Rhodes,186,137,7.38,244,Austin, Texas, USA
673,Pedro Morales,180,109,7.37,45,Culebra, Puerto Rico, USA
674,Hideyoshi Kamitani,180,108,7.36,32,Matsusaka, Mie, Japan
675,Takao Omori,190,110,7.36,57,Tokyo, Japan,
676,Kofi Kingston,185,97,7.36,731,Kumasi, Ashanti-Region, Ghana
677,Atsushi Kotoge,177,91,7.36,38,Kaizuka, Osaka, Japan
678,Franky Monet,173,66,7.36,75,Victoria, British Columbia, Canada
679,Beulah,167,52,7.35,65,Kalamazoo, Michigan, USA
680,Don Callis,188,105,7.35,77,Winnipeg, Manitoba, Canada
681,Chris Colen,185,101,7.35,90,Wien, Österreich,
682,Axel Tischer,187,111,7.35,218,Dresden, Sachsen, Deutschland
683,Ortiz,173,87,7.35,50,New York City, New York, USA
684,Tyler Breeze,185,89,7.35,263,Calgary, Alberta, Canada
685,Cody Rhodes,185,100,7.35,932,North Carolina, USA,
686,Damian Priest,200,114,7.35,106,West Nyack, New York, USA
687,Luther Ward,185,110,7.34,28,Dublin, Ireland,
688,Perry Saturn,178,106,7.34,186,Lakewood, Ohio, USA
689,Leyla Hirsch,150,57,7.34,46,Moskau, Russland,
690,Francine,170,53,7.33,50,Bear, Delaware, USA
691,Savannah,165,49,7.33,29,Vancouver, British Columbia, Canada
692,Allysin Kay,178,68,7.33,51,Detroit, Michigan, USA
693,Joseph Parks,195,159,7.33,413,Washington, District Of Columbia, USA
694,Shayna Baszler,170,62,7.33,197,Sioux Falls, South Dakota, USA
695,Allison Danger,170,56,7.32,58,Winnipeg, Manitoba, Canada
696,Mountie,185,109,7.32,116,St. Sulpice, Quebec, Canada
697,Matt Cappotelli,183,100,7.32,27,Norwich, New York, USA
699,Miro,183,127,7.32,431,Plovdiv, Bulgarien,
700,Ivan Kiev,188,93,7.31,79,Berlin, Deutschland,
702,Ken Shamrock,185,95,7.31,197,Warner Robins, Georgia, USA
703,Alberto El Patron,197,108,7.31,550,San Luis Potosi, Mexiko,
704,Sanshiro Takagi,175,105,7.31,28,Osaka, Japan,
706,Mike Rotunda,192,116,7.3,197,Syracuse, New York, USA
707,Phil LaFon,180,105,7.3,39,Nipigon, Ontario, Canada
708,Road Warrior Animal,185,130,7.29,168,Philadelphia, Pennsylvania, USA
709,Hallowicked,188,96,7.29,69,Pennsylvania, USA,
711,Chaos,183,109,7.29,30,Aarhus, Dänemark,
712,Deonna Purrazzo,157,55,7.29,76,Jefferson, New Jersey, USA
713,Kimona Wanalaya,156,46,7.28,31,Seoul, Südkorea,
714,Alex Colon,171,86,7.28,39,Hammonton, New Jersey, USA
715,Luchasaurus,196,106,7.28,94,Woodlands Hills, California, USA
716,Jay Lethal,178,97,7.28,413,Elizabeth, New Jersey, USA
717,Gedo,172,86,7.28,118,Musashimurayama, Tokyo, Japan
718,Pope,185,100,7.28,286,Jacksonville, Florida, USA
719,Raul Mendoza,171,80,7.28,38,Cordoba, Veracruz, Mexiko
720,Alex Wright,195,101,7.27,213,Schwabach, Bayern, Deutschland
721,Psycho Clown,189,107,7.27,25,Mexico City, Distrito Federal, Mexiko
722,Vampiro,190,113,7.27,157,Thunder Bay, Ontario, Canada
724,Robert Anthony,192,100,7.26,33,Plainfield, Illinois, USA
725,Brent Albright,183,108,7.25,107,Tulsa, Oklahoma, USA
726,Apollo Crews,185,110,7.25,325,Sacramento, California, USA
727,EVIL,178,106,7.25,249,Mishima, Shizuoka, Japan
728,Uli Fesseler,158,48,7.24,32,Hamburg, Deutschland,
729,Barry Windham,196,126,7.24,124,Fargo, Georgia, USA
730,Douki,170,85,7.24,37,Japan,,
731,Too Cold Scorpio,185,105,7.24,161,Texas, USA,
732,Jason Lee,172,72,7.24,28,Hong Kong, China,
733,Paul Wight,213,180,7.24,897,Aiken, South Carolina, USA
734,Taiyo Kea,185,106,7.24,48,Honolulu, Hawaii, USA
735,Ren Narita,182,83,7.24,37,Aomori, Japan,
736,Billy Kidman,177,89,7.23,232,New Haven, Connecticut, USA
737,Killer Kelly,165,58,7.22,45,Lissabon, Portugal,
738,Booker T,190,113,7.22,622,Houston, Texas, USA
739,TJP,178,76,7.22,276,Los Angeles, California, USA
740,Reckless Youth,178,91,7.21,28,Mt. Holly, New Jersey, USA
741,Alex Reynolds,178,89,7.21,46,Southampton, New York, USA
742,Natsu Sumire,164,60,7.21,33,Iwakura, Aichi, Japan
743,Kevin Nash,211,127,7.21,561,Detroit, Michigan, USA
744,Juice Robinson,191,100,7.21,280,Joliet, Illinois, USA
745,Amazing Red,168,70,7.2,141,Cayey, Puerto Rico, USA
747,Maria Kanellis-Bennett,170,52,7.2,342,Ottawa, Illinois, USA
748,Kevin Kelly,178,109,7.19,42,New York City, New York, USA
749,Robert Dreissker,180,134,7.19,61,Tulln, Niederösterreich, Österreich
750,John Bradshaw Layfield,195,128,7.19,633,Athens, Texas, USA
751,Cheech,183,80,7.18,60,New York City, New York, USA
752,King Muertes,183,111,7.18,158,Bayamon, Puerto Rico, USA
753,Jason Jordan,190,107,7.18,175,Tinley Park, Illinois, USA
754,Elizabeth,163,54,7.17,118,Frankfort, Kentucky, USA
755,Mr. Fuji,178,109,7.17,110,Honolulu, Hawaii, USA
756,Tito Santana,188,107,7.17,141,Mission, Texas, USA
757,Sasa Keel,196,106,7.16,56,Split, Dalmatien, Kroatien
758,Shane Douglas,183,111,7.16,171,Pittsburgh, Pennsylvania, USA
759,Tommy Dreamer,188,116,7.16,437,Yonkers, New York, USA
760,Corey Graves,185,93,7.16,151,Pittsburgh, Pennsylvania, USA
761,El Texano Jr.,174,100,7.16,48,Mexico City, Distrito Federal, Mexiko
762,Hulk Hogan,193,125,7.15,965,Augusta, Georgia, USA
764,Scorpio Sky,178,80,7.15,114,Los Angeles, California, USA
765,Rhino,177,134,7.15,405,Dearborn, Michigan, USA
766,Shane Taylor,185,143,7.15,25,Cleveland, Ohio, USA
767,Alexa Bliss,155,46,7.15,433,Columbus, Ohio, USA
768,Wardlow,188,113,7.15,61,Cleveland, Ohio, USA
770,Peter White,188,100,7.14,28,Wien, Österreich,
771,Jeff Jarrett,183,107,7.14,425,Hendersonville, Tennessee, USA
772,Earl Hebner,170,73,7.13,105,King William County, Virginia, USA
773,Mike Kruel,180,102,7.13,29,New York City, New York, USA
774,Da Mack,182,84,7.13,115,Hamburg, Deutschland,
775,Christina Von Eerie,163,56,7.13,30,Sacramento, California, USA
776,Jamie Noble,170,91,7.13,305,Hanover, West Virginia, USA
777,PCO,185,124,7.12,146,Montreal, Quebec, Canada
778,Daffney,168,59,7.11,111,Wiesbaden, Hessen, Deutschland
779,Marty Martinez,188,98,7.11,44,West Jordan, Utah, USA
780,PJ Black,185,97,7.11,248,Cape Town, South Africa,
781,Kazuki Hashimoto,170,80,7.11,26,Soka, Saitama, Japan
782,Eddie Gilbert,178,101,7.1,30,Lexington, Tennessee, USA
783,Robert Ray,185,100,7.1,40,Graz, Steiermark, Österreich
784,Bronson Reed,180,125,7.1,67,Australia,,
785,Muhammad Hassan,188,105,7.09,150,Syracuse, New York, USA
788,Powerhouse Hobbs,185,109,7.09,31,Palo Alto, California, USA
789,Velvet Sky,165,57,7.08,202,New Britain, Connecticut, USA
790,Tim Donst,178,109,7.08,50,East Stroudsburg, Pennsylvania, USA
792,Butcher,191,124,7.08,35,Buffalo, New York, USA
793,El Samurai,180,85,7.08,39,Hanamaki, Iwate, Japan
794,Yuya Uemura,180,82,7.08,36,Imabari, Ehime, Japan
795,Hector Garza,178,95,7.07,45,Monterrey, Nuevo Leon, Mexiko
796,Rambo,170,100,7.07,27,Santo Domingo de Guzmán, Dominikanische Republik,
797,Blade,183,100,7.07,44,Buffalo, New York, USA
798,Serena Deeb,162,58,7.07,128,Oakton, Virginia, USA
799,Wifebeater,193,111,7.06,32,Dallas, Texas, USA
800,Ron Simmons,185,125,7.06,242,Perry, Georgia, USA
803,LuFisto,160,63,7.05,83,Sorel, Quebec, Canada
804,Saya Kamitani,168,58,7.05,54,Kanagawa, Japan,
805,Scott Lost,175,84,7.04,49,Santa Cruz, California, USA
806,Yoshinari Ogawa,180,85,7.04,82,Toride, Ibaraki, Japan
808,Ryouji Sai,190,105,7.03,30,Osaka, Japan,
809,Mr. Insanity,192,107,7.02,48,Detroit, Michigan, USA
810,Gran Akuma,178,90,7.01,76,Boyertown, Pennsylvania, USA
811,Alofa,188,165,7,37,Samoa,,
812,Vincent,183,86,7,26,Warwick, Rhode Island, USA
813,Ace Romero,184,181,7,36,Saco, Maine, USA
814,Mansoor,183,89,7,52,Riyadh, Saudi Arabia,
816,Carlito,178,100,6.99,497,San Juan, Puerto Rico, USA
817,Jake Hager,193,130,6.99,567,Perry, Oklahoma, USA
818,Jimmy Yang,175,93,6.98,284,Los Angeles, California, USA
819,Hernandez,188,134,6.98,243,Houston, Texas, USA
820,Josh Raymond,175,83,6.97,31,Kalamazoo, Michigan, USA
821,Bobby Gunns,179,92,6.97,63,Heilbad Heiligenstadt, Thüringen, Deutschland
823,Ted DiBiase Jr.,188,107,6.95,330,Baton Rouge, Louisiana, USA
824,Sid Vicious,206,142,6.94,263,West Memphis, Arkansas, USA
825,Shotzi,167,57,6.94,82,California, USA,
826,John Kronus,191,116,6.93,44,Everett, Massachusetts, USA
827,Doug Furnas,180,110,6.93,40,Miami, Oklahoma, USA
828,Aron Stevens,193,110,6.93,320,Worcester, Massachusetts, USA
829,Todd Pettengill,183,79,6.92,25,Hagaman, New York, USA
830,Batista,196,126,6.92,1094,Arlington, Virginia, USA
831,Joaquin Wilde,170,77,6.92,132,Los Angeles, California, USA
834,Afa,188,148,6.9,59,Samoa,,
835,Nikki Roxx,175,64,6.9,80,Melrose, New Hampshire, USA
836,Patriot,190,118,6.9,41,Columbia, South Carolina, USA
837,Matt Striker,178,98,6.9,300,New York City, New York, USA
838,K-ness,172,74,6.9,28,Tokyo, Japan,
839,Togi Makabe,181,110,6.9,173,Sagamihara, Kanagawa, Japan
840,Saya Iida,145,54,6.9,50,Kashiwa, Chiba, Japan
842,Blitzkrieg,165,73,6.89,27,California, USA,
843,X-Dream,183,80,6.89,72,Köln, Nordrhein-Westfalen, Deutschland
844,Abdullah Kobayashi,175,165,6.89,62,Chikuma, Nagano, Japan
846,BUSHI,172,83,6.89,159,Tokyo, Japan,
847,Yokozuna,193,290,6.88,258,San Francisco, California, USA
848,Stevie Richards,187,100,6.88,223,Philadelphia, Pennsylvania, USA
849,Nicho,180,91,6.88,133,Tijuana, Baja California, Mexiko
850,YOH,171,85,6.88,96,Kurihara, Miyagi, Japan
851,Nick Gage,178,91,6.87,123,Salt Lake City, Utah, USA
852,Fabio Ferrari,187,101,6.87,30,Genua, Italien,
853,Celeste Bonin,165,58,6.86,148,Houston, Texas, USA
854,Maryse,173,52,6.86,345,Montreal, Quebec, Canada
855,Delirious,178,91,6.85,181,Missouri, USA,
856,Yoshiaki Yago,187,100,6.85,26,Imizu, Toyama, Japan
857,Dustin Rhodes,193,107,6.85,637,Austin, Texas, USA
858,Ricky Morton,180,103,6.84,63,Nashville, Tennessee, USA
859,Kenny King,183,104,6.84,115,Orlando, Florida, USA
860,Big E,180,130,6.84,416,Tampa, Florida, USA
861,Mascarita Dorada,134,48,6.83,58,Veracruz, Mexiko,
862,Kid Kash,175,93,6.83,132,Waynesboro, West Virginia, USA
863,Iron Sheik,183,117,6.83,157,Damghan, Provinz Semnan, Iran
864,Bunny,168,54,6.83,89,Toronto, Ontario, Canada
865,Xavier Woods,175,93,6.83,367,Marietta, Georgia, USA
866,Aykut Artan,188,107,6.82,27,Istanbul, Türkei,
867,Flip Gordon,178,88,6.82,65,Kalispell, Montana, USA
868,Bob Backlund,185,109,6.82,190,Princeton, Minnesota, USA
869,Wendi Richter,173,64,6.8,34,Dallas, Texas, USA
870,Jimmy Lloyd,178,100,6.8,29,New Jersey, USA,
871,Erick Stevens,183,86,6.79,95,Sarasota, Florida, USA
872,Necro Butcher,185,105,6.79,181,Morgantown, West Virginia, USA
873,Icarus,178,83,6.79,56,Pennsylvania, USA,
874,Roman Reigns,190,120,6.79,1000,Pensacola, Florida, USA
875,Arik Cannon,175,92,6.78,57,Chicago, Illinois, USA
876,Taeler Hendrix,170,57,6.78,40,New Bedford, Massachusetts, USA
878,Teoman,182,82,6.78,90,Berlin, Deutschland,
879,Moose,196,136,6.78,117,Seabrook, Maryland, USA
880,Messiah,185,96,6.77,29,Detroit, Michigan, USA
881,Fabulous Moolah,165,63,6.77,94,Kershaw County, South Carolina, USA
883,Makoto Oishi,170,75,6.77,25,Fuji, Shizuoka, Japan
884,Desean Pratt,175,81,6.76,40,Pennsauken, New Jersey, USA
885,Pascal Spalter,191,141,6.76,33,Berlin, Deutschland,
886,Tony Schiavone,178,85,6.76,82,Craigsville, Virginia, USA
887,Taichi,177,100,6.76,239,Ishikari, Hokkaido, Japan
888,Demolition Ax,192,132,6.75,76,Brownsville, Pennsylvania, USA
889,Chris Guy,175,96,6.75,54,Chicago, Illinois, USA
890,Jigsaw,188,86,6.75,95,New York City, New York, USA
891,Saki Kashima,163,50,6.75,55,Masuda, Shimane, Japan
892,Yota Tsuji,182,91,6.75,27,Yokohama, Kanegawa, Japan
893,Sgt. Slaughter,196,138,6.72,177,Detroit, Michigan, USA
894,Rain,168,58,6.72,38,Sacramento, California, USA
895,Jey Uso,188,109,6.71,193,San Francisco, California, USA
896,Peter Avalon,178,75,6.71,37,Carson City, Nevada, USA
897,Jaki Numazawa,174,100,6.71,34,Honjo, Saitama, Japan
899,John Walters,183,102,6.7,29,Framingham, Massachusetts, USA
900,Matt Borne,183,110,6.7,147,North Carolina, USA,
901,Todd Grisham,185,73,6.69,99,Hattiesburg, Mississippi, USA
902,Gerald Brisco,188,95,6.69,48,Oklahoma City, Oklahoma, USA
904,Tiger Mask,173,85,6.69,130,Urayasu, Chiba, Japan
905,Michael Modest,178,102,6.68,27,Berkeley, California, USA
906,Sexxxy Eddy,185,90,6.68,43,Montreal, Quebec, Canada
907,Jimmy Rave,173,94,6.67,84,Atlanta, Georgia, USA
908,Bo Jones,186,92,6.67,69,Elmshorn, Schleswig-Holstein, Deutschland
